protein_ids,symbol,log2FoldChange,baseMean,padj,GO_id,GO_term
g9276.t2,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0016773,"phosphotransferase activity, alcohol group as acceptor"
g9276.t2,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0005524,ATP binding
g9276.t2,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0005536,D-glucose binding
g9276.t1,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0005975,carbohydrate metabolic process
g9276.t1,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0004396,hexokinase activity
g9276.t1,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0001678,intracellular glucose homeostasis
g9276.t1,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0016773,"phosphotransferase activity, alcohol group as acceptor"
g9276.t1,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0005524,ATP binding
g9276.t1,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0005536,D-glucose binding
g6443.t1,g6443,0.674882434112889,919.149389843555,1.42721866163712e-07,GO:0004672,protein kinase activity
g6443.t1,g6443,0.674882434112889,919.149389843555,1.42721866163712e-07,GO:0005524,ATP binding
g6443.t1,g6443,0.674882434112889,919.149389843555,1.42721866163712e-07,GO:0006468,protein phosphorylation
g8541.t1,g8541,0.673969479345554,209.198190878263,7.11198495241096e-05,nan,
g8541.t2,g8541,0.673969479345554,209.198190878263,7.11198495241096e-05,nan,
g4835.t1,g4835,0.67386262521185,958.742541279528,0.0004113790745265,GO:0003824,catalytic activity
g4835.t2,g4835,0.67386262521185,958.742541279528,0.0004113790745265,GO:0003824,catalytic activity
g724.t1,g724,0.673692698870956,3451.1652521135,6.35757250674631e-17,GO:0006415,translational termination
g724.t1,g724,0.673692698870956,3451.1652521135,6.35757250674631e-17,GO:0005525,GTP binding
g724.t1,g724,0.673692698870956,3451.1652521135,6.35757250674631e-17,GO:0003747,translation release factor activity
g724.t1,g724,0.673692698870956,3451.1652521135,6.35757250674631e-17,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
g724.t1,g724,0.673692698870956,3451.1652521135,6.35757250674631e-17,GO:0003924,GTPase activity
g4342.t1,g4342,0.673580194248794,736.197768685385,0.0002014543328627,nan,
g4481.t1,g4481,0.672946299284687,753.804720751326,9.96613414449694e-05,GO:0000155,phosphorelay sensor kinase activity
g4481.t1,g4481,0.672946299284687,753.804720751326,9.96613414449694e-05,GO:0000160,phosphorelay signal transduction system
g4481.t1,g4481,0.672946299284687,753.804720751326,9.96613414449694e-05,GO:0007165,signal transduction
g4481.t1,g4481,0.672946299284687,753.804720751326,9.96613414449694e-05,GO:0016310,phosphorylation
